Handle,Price,ImageSrc,Body,Vendor,Type,Tags,Color,VariantGrams,VariantInventoryTracker,VariantInventoryQty,ImageAltText,VariantImage,STYLE#,AVAILABLE_SIZES,SUGGESTED_PRICE,CATEGORY_NAME,SIZE,WEIGHT,PieceCost,SIZE_INDEX,MSRP,FRONT_MODEL_IMAGE_URL,BACK_MODEL_IMAGE_URL,FRONT_FLAT_IMAGE_URL,BACK_FLAT_IMAGE_URL,PRODUCT_MEASUREMENTS,DECORATION_SPEC_SHEET,barcode,Title
5100P,5.14,https://cdnm.sanmar.com/imglib/mresjpg/2022/f13/5100P_black_model_front.jpg,"<ul><li>5.3-ounce, 100% US cotton</li><li>90/10 cotton/poly (Sport Grey)</li><li>Taped neck and shoulders</li><li>Recycled, high-performing black tear-away label</li><li>Classic fit</li><li>Side seamed</li></ul><p>Please note: This product is transitioning from tear-away labels to recycled, high-performing black tear-away labels. Your order may contain a combination of both labels.</p>",Gildan,Infant & Toddler,0,Black,707,shopify,1500,0,https://cdnm.sanmar.com/imglib/mresjpg/2022/f13/5100P_black_model_front.jpg,5100P,Toddler Sizes: 2T-6T,5.14,T-Shirts ;Infant & Toddler;Youth,2T,0.13,3.57,1,5.14,https://cdnm.sanmar.com/imglib/mresjpg/2022/f13/5100P_black_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2022/f13/5100P_black_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2022/f14/5100P_black_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2022/f14/5100P_black_flat_back.jpg ,5100P_productmeasurement.pdf,https://www.sanmar.com/p/7764/decorationSpecSheet,2102401,Gildan® Heavy Cotton™ Toddler T-Shirt 5100P
CAR54I,3.54,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54I_aquaticblue_model_front_032017.jpg,"Our indispensable tee is sized for the little ones and color-coordinated with our adult PC54, Core Cotton Tee.<ul><li> 5.4-ounce, 100% cotton</li><li>90/10 cotton/poly (Athletic Heather)</li><li> Shoulder-to-shoulder taping</li><li> Coverseamed neck</li><li> Side seamed</li><li> Double-needle sleeves and hem</li></ul>",Port & Company,Infant & Toddler,0,Aquatic Blue,707,shopify,1073,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54I_aquaticblue_model_front_032017.jpg,CAR54I,Infant Sizes: 6M  12M  18M,3.54,Infant & Toddler,06M,0.13,2.77,2,3.54,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54I_aquaticblue_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54I_aquaticblue_model_back_302017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR54I_aquaticblue_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f9/CAR54I_aquaticblue_flat_back.jpg ,CAR54I_productmeasurement.pdf,https://www.sanmar.com/p/6471/decorationSpecSheet,941632,Port & Company® Infant Core Cotton Tee. CAR54I
CAR54T,4.14,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54T_aquaticblue_model_front_032017.jpg,"Our indispensable tee is sized for the little ones and color-coordinated with our adult PC54, Core Cotton Tee.<ul><li> 5.4-ounce, 100% cotton</li><li> 90/10 cotton/poly (Athletic Heather)</li><li> Shoulder-to-shoulder taping</li><li> Coverseamed neck</li><li> Side seamed</li><li> Double-needle sleeves and hem</li></ul>",Port & Company,Infant & Toddler,0,Aquatic Blue,870,shopify,1500,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54T_aquaticblue_model_front_032017.jpg,CAR54T,Toddler Sizes: 2T  3T  4T,4.14,Infant & Toddler,2T,0.16,3.07,2,4.14,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54T_aquaticblue_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR54T_aquaticblue_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR54T_aquaticblue_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f9/CAR54T_aquaticblue_flat_back.jpg ,CAR54T_productmeasurement.pdf,https://www.sanmar.com/p/6472/decorationSpecSheet,941802,Port & Company® Toddler Core Cotton Tee. CAR54T
CAR78IZH,14.3,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/CAR78IZH_athletichthr_model_front_032017.jpg,"Our popular 7.8-ounce hooded sweatshirt designed for the smallest family members. Color-coordinated with our adult PC78, 7.8-ounce Core Fleece Sweatshirts.<ul><li> 7.8-ounce, 50/50 cotton/poly fleece</li><li> Air jet yarn for softness</li><li> No drawcord at hood</li></ul>",Port & Company,Infant & Toddler,0,Athletic Heather,2286,shopify,286,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/CAR78IZH_athletichthr_model_front_032017.jpg,CAR78IZH,Infant Sizes: 6M  12M  18M,14.3,Infant & Toddler,06M,0.42,9.15,2,14.3,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/CAR78IZH_athletichthr_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/CAR78IZH_athletichthr_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78IZH_athletichthr_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f9/CAR78IZH_athleticheather_flat_back.jpg ,CAR78IZH_productmeasurement.pdf,https://www.sanmar.com/p/6474/decorationSpecSheet,942162,Port & Company® Infant Core Fleece Full-Zip Hooded Sweatshirt. CAR78IZH
CAR78TH,12.3,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TH_athletichthr_model_front_072014.jpg,"Add an extra layer of warmth with this soft and durable favorite. <ul><li> 7.8-ounce, 50/50 cotton/poly fleece</li><li> No drawcord at hood</li></ul>",Port & Company,Infant & Toddler,0,Athletic Heather,2503,shopify,1026,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TH_athletichthr_model_front_072014.jpg,CAR78TH,Toddler Sizes: 2T  3T  4T,12.3,Infant & Toddler,2T,0.46,8.15,2,12.3,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TH_athletichthr_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TH_athletichthr_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TH_athletichthr_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f9/CAR78TH_athleticheather_flat_back.jpg ,CAR78TH_productmeasurement.pdf,https://www.sanmar.com/p/6476/decorationSpecSheet,942362,Port & Company® Toddler Core Fleece Pullover Hooded Sweatshirt. CAR78TH
CAR78TZH,16.3,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TZH_athletichthr_model_front_072014.jpg,"Our popular 7.8-ounce hooded sweatshirt designed for the smallest family members. Color-coordinated with our adult PC78, 7.8-ounce Core Fleece Sweatshirts.<ul><li> 7.8-ounce, 50/50 cotton/poly fleece</li><li> Air jet yarn for softness</li><li> No drawcord at hood</li></ul>",Port & Company,Infant & Toddler,0,Athletic Heather,2721,shopify,609,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TZH_athletichthr_model_front_072014.jpg,CAR78TZH,Toddler Sizes: 2T  3T  4T,16.3,Infant & Toddler,2T,0.5,10.15,2,16.3,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TZH_athletichthr_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f5/CAR78TZH_athletichthr_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f10/CAR78TZH_athletichthr_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f9/CAR78TZH_athleticheather_flat_back.jpg ,CAR78TZH_productmeasurement.pdf,https://www.sanmar.com/p/6475/decorationSpecSheet,942262,Port & Company® Toddler Core Fleece Full-Zip Hooded Sweatshirt. CAR78TZH
PC450TD,5.14,https://cdnm.sanmar.com/imglib/mresjpg/2018/f1/PC450TD_athletichthr_model_front_122017.jpg,"You'll be the biggest fan around of this 100% ring spun cotton tee. <ul><li> 4.5-ounce, 100% ring spun cotton</li><li> 90/10 cotton/poly (Athletic Heather)</li><li> 50/50 cotton/poly (Dark Heather Grey)</li><li> Satin label</li></ul>",Port & Company,Infant & Toddler,0,Athletic Heather,762,shopify,1500,0,https://cdnm.sanmar.com/imglib/mresjpg/2018/f1/PC450TD_athletichthr_model_front_122017.jpg,PC450TD,Toddler Sizes: 2T  3T  4T,5.14,Infant & Toddler;Youth;T-Shirts ,2T,0.14,3.57,2,5.14,https://cdnm.sanmar.com/imglib/mresjpg/2018/f1/PC450TD_athletichthr_model_front_122017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2018/f1/PC450TD_athletichthr_model_back_122017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f23/PC450TD_athletichthr_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2018/f1/PC450TD_athletichthr_flat_back.jpg ,PC450TD_productmeasurement.pdf,https://www.sanmar.com/p/8891/decorationSpecSheet,1254392,Port & Company ® Toddler Fan Favorite Tee. PC450TD
RS1003,4.1,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1003_black_front.jpg,"Perfect for mess-free meals. This bib is made of heavyweight, absorbent terry cloth to help keep baby clean while eating. <ul><li> 100% cotton terry</li><li> Contrast color binding</li><li> Velcro brand hook and loop closure</li><li> EasyTear<sup>&#153;</sup> label for additional comfort and ability to brand as your own</li></ul>",Rabbit Skins,Infant & Toddler,0,Black,381,shopify,703,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1003_black_front.jpg,RS1003,ONE SIZE FITS MOST,4.1,Infant & Toddler,OSFA,0.07,3.05,3,4.1,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1003_black_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1003_black_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1003_black_front.jpg, ,RS1003_productmeasurement.pdf,https://www.sanmar.com/p/8516/decorationSpecSheet,1204993,Rabbit Skins™ Infant Contrast Trim Terry Bib. RS1003
RS1005,3.1,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1005_black_flat_front.jpg,"The ideal option for newborn's first bottle-feeding to baby's first rice cereal. <ul><li> 5.5-ounce, 100% combed ring spun cotton premium jersey</li><li> White is sewn with 100% cotton thread for easy garment dyeing</li><li> Velcro<sup>&#174;</sup>brand hook and loop closure</li><li> EasyTear<sup>&#153;</sup> label for additional comfort and ability to brand as your own</LI></UL>",Rabbit Skins,Infant & Toddler,0,Black,272,shopify,1500,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1005_black_flat_front.jpg,RS1005,ONE SIZE FITS MOST,3.1,Infant & Toddler,OSFA,0.05,2.55,3,3.1,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1005_black_flat_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1005_black_flat_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS1005_black_flat_front.jpg, ,RS1005_productmeasurement.pdf,https://www.sanmar.com/p/8515/decorationSpecSheet,1204943,Rabbit Skins™ Infant Premium Jersey Bib. RS1005
RS3037,11.34,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS3037_blackwhite_model_front_072017.jpg,"This football-style tee will have your toddler feeling like he's part of the team. <ul><li> 4.5-ounce, 100% combed ring spun cotton fine jersey</li><li> 60/40 combed ring spun cotton/poly vintage heathered fine jersey (vintage colors)</li><li> Ribbed collar</li><li> Side seamed</li><li> EasyTear<sup>&#153;</sup> label for additional comfort and ability to brand as your own</li><li> Shoulder-to-shoulder taping</li><li> Coverstitched front and back yoke</li><li> Contrasting stripes on sleeves</li><li> Double-needle sleeves and hem</li></ul>",Rabbit Skins,Infant & Toddler,0,Black/ White,925,shopify,195,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS3037_blackwhite_model_front_072017.jpg,RS3037,TODDLER SIZES: 2T  3T  4T  5/6,11.34,Infant & Toddler,2T,0.17,7.67,1,11.34,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS3037_blackwhite_model_front_072017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS3037_blackwhite_model_front_072017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/RS3037_blackwhite_model_front_072017.jpg, ,RS3037_productmeasurement.pdf,https://www.sanmar.com/p/8520/decorationSpecSheet,1205481,Rabbit Skins™ Toddler Football Fine Jersey Tee. RS3037
